TLD,Indexed URLs,
VOTO,43000,
REALESTATE,42900,
XN--L1ACC,42200,
ENGINEER,42100,
LAWYER,41600,
PHYSIO,40900,
YANDEX,39900,
PHARMACY,38200,
INSURE,37400,
BOSTON,37300,
XN--J6W193G,37000,
GUITARS,36700,
SAXO,36500,
CAR,35300,
OSAKA,34600,
XN--MK1BU44C,34400,
INDUSTRIES,33700,
TENNIS,33700,
ABBOTT,33300,
SAP,32900,
XN--SES554G,32700,
GW,32400,
CREDIT,32300,
XN--KPRY57D,32200,
SUPPLIES,32100,
HOLDINGS,31300,
RYUKYU,30900,
DIAMONDS,29900,
APARTMENTS,29400,
ASSOCIATES,29300,
CRUISES,29200,
FK,29000,
THEATER,28800,
CEO,28400,
RODEO,28400,
ATTORNEY,28300,
VIAJES,27000,
GOOGLE,26400,
AUTO,26100,
KP,26100,
DIET,25800,
JOBURG,25600,
GIVES,25000,
VILLAS,25000,
FINANCIAL,24700,
SARL,24000,
CATERING,23800,
VACATIONS,23100,
REHAB,22500,
XN--FIQZ9S,21900,
GU,21800,
INVESTMENTS,21500,
QPON,20500,
FOREX,19200,
GRIPE,19100,
STOCKHOLM,18700,
CAREER,18200,
BINGO,18100,
LIMO,18000,
XN--D1ALF,18000,
STORAGE,17900,
CLEANING,17000,
DENTIST,16600,
HIV,16400,
DEGREE,16300,
PLUMBING,16200,
CITIC,15900,
CRS,15900,
EDEKA,15800,
LEASE,15600,
BARGAINS,15400,
DURBAN,15300,
CONDOS,15200,
LOANS,14900,
XN--WGBH1C,14400,
UOL,14300,
ACCOUNTANTS,13900,
COUNTRY,13600,
SEAT,13000,
AWS,12900,
YACHTS,12800,
LUXE,12700,
BARCLAYS,12600,
BRADESCO,12400,
XN--55QX5D,12000,
MAISON,11900,
KRED,11800,
XN--CZR694B,11800,
XN--E1A4C,11800,
XN--NGBC5AZD,11800,
KOMATSU,11700,
REISE,11300,
XN--KPUT3I,11200,
TRADING,10800,
CLAIMS,10500,
XN--Q9JYB4C,9810,
MORTGAGE,9520,
ARPA,9290,
XN--O3CW4H,9210,
RICOH,9000,
XN--6QQ986B3XL,7930,
SENER,7910,
XN--54B7FTA0CC,7570,
VERSICHERUNG,7090,
MANGO,7010,
CHARITY,6840,
FEEDBACK,6680,
SECURITY,6670,
IPIRANGA,6520,
XN--QXAM,6000,
XN--ZFR164B,5840,
CREDITUNION,5750,
AFL,5550,
CHRISTMAS,5520,
BROKER,5250,
VODKA,5250,
XN--CZRU2D,4980,
GAY,4860,
TICKETS,4860,
MEMORIAL,4790,
XN--T60B56A,4780,
NEUSTAR,4580,
MMA,4530,
XN--IO0A7I,4090,
XN--3DS443G,4080,
NAVY,4070,
AQUARELLE,3910,
JUEGOS,3850,
KM,3820,
TOTAL,3760,
DEMOCRAT,3670,
SUCKS,3670,
TIRES,3650,
FAGE,3560,
XN--MGBAB2BD,3510,
JLL,3430,
BLACKFRIDAY,3410,
JCB,3360,
XN--VUQ861B,3180,
WEIR,3130,
ACO,3060,
BOATS,3040,
REPUBLICAN,2820,
MAN,2680,
MOTORCYCLES,2630,
HSBC,2550,
ABOGADO,2500,
REIT,2450,
AXA,2390,
XN--6FRZ82G,2340,
SKY,2320,
DVAG,2260,
INSURANCE,2230,
KPN,2230,
PRAXI,2200,
GLOBO,2140,
STATEBANK,2110,
XN--FIQ228C5HS,2040,
BMW,1870,
XN--G2XX48C,1800,
ABB,1470,
TORAY,1430,
HISAMITSU,1380,
PHILIPS,1350,
SCHWARZ,1340,
MONASH,1330,
AIRFORCE,1300,
ERNI,1170,
LATROBE,1170,
XN--CZRS0T,1030,
SCB,966,
AUTOS,940,
XN--KPRW13D,927,
SHRIRAM,812,
XN--HXT814E,794,
XN--RHQV96G,789,
CREDITCARD,777,
SHELL,714,
LIDL,708,
XN--3BST00M,693,
XN--NQV7F,627,
WHOSWHO,599,
XN--5TZM5G,539,
MOI,501,
GOOG,490,
MINI,474,
AUSPOST,459,
CANCERRESEARCH,405,
XN--VHQUV,372,
THEATRE,339,
LAMBORGHINI,241,
RICH,210,
BROADWAY,207,
XN--4GBRIM,203,
XN--MGBA3A4F16A,195,
MAKEUP,194,
FOX,174,
NEW,171,
VOTING,160,
ALLFINANZ,153,
ER,126,
IFM,116,
PRU,106,
APPLE,94,
BENTLEY,78,
DISCOVER,64,
BLOOMBERG,36,
HOTELES,36,
MICROSOFT,31,
LINDE,23,
PRUDENTIAL,22,
DELOITTE,20,
AIG,10,
BARCLAYCARD,10,
HITACHI,10,
SBI,10,
STADA,10,
XN--55QW42G,10,
ARTE,9,
FOO,9,
IKANO,9,
LOCUS,9,
LOTTO,9,
PROTECTION,9,
SELECT,9,
SS,9,
TEVA,9,
WALTER,9,
XN--FIQ64B,9,
XN--PGBS0DH,9,
BOND,8,
BROTHER,8,
CISCO,8,
GL,8,
HYATT,8,
NEC,8,
SCHMIDT,8,
SWATCH,8,
VIG,8,
WILLIAMHILL,8,
WINDOWS,8,
XN--FZC2C9E2C,8,
XN--I1B6B1A6A2E,8,
XN--XHQ521B,8,
BUGATTI,7,
CBA,7,
CFA,7,
INTEL,7,
NTT,7,
PICTET,7,
REXROTH,7,
SNCF,7,
TT,7,
WED,7,
WOODSIDE,7,
XBOX,7,
XN--YGBI2AMMX,7,
BING,6,
CBS,6,
CLUBMED,6,
DEALER,6,
DNP,6,
FORUM,6,
FROGANS,6,
ITAU,6,
KPMG,6,
LUNDBECK,6,
NICO,6,
REDSTONE,6,
SANOFI,6,
STATEFARM,6,
TATAMOTORS,6,
VANGUARD,6,
XN--FPCRJ9C3D,6,
ADAC,5,
ALLSTATE,5,
BRIDGESTONE,5,
CHINTAI,5,
COMPARE,5,
DUBAI,5,
EMERCK,5,
FAIRWINDS,5,
FRESENIUS,5,
FUJITSU,5,
GENTING,5,
GLE,5,
GOO,5,
GUCCI,5,
ITV,5,
JAVA,5,
KFH,5,
LANXESS,5,
MED,5,
MH,5,
NEXT,5,
OTSUKA,5,
PIONEER,5,
RMIT,5,
SANDVIKCOROMANT,5,
SCHAEFFLER,5,
SMART,5,
SOFTBANK,5,
SOHU,5,
SONY,5,
STC,5,
SUZUKI,5,
TOYOTA,5,
TRUST,5,
TUI,5,
XN--GECRJ9C,5,
XN--LGBBAT1AD8J,5,
XN--MGB9AWBF,5,
XN--OGBPF8FL,5,
XN--UNUP4Y,5,
YOUTUBE,5,
AARP,4,
ABLE,4,
AETNA,4,
AMEX,4,
BAUHAUS,4,
BBVA,4,
BOSTIK,4,
BOX,4,
CHASE,4,
CITI,4,
CROWN,4,
CSC,4,
DABUR,4,
FIRMDALE,4,
FLIR,4,
GEA,4,
GMO,4,
GUARDIAN,4,
HONDA,4,
ICE,4,
ISMAILI,4,
JAGUAR,4,
JIO,4,
JNJ,4,
JPRS,4,
KIA,4,
KINDER,4,
LANDROVER,4,
MLB,4,
MUTUAL,4,
NAB,4,
NATURA,4,
NISSAN,4,
NOWRUZ,4,
NRA,4,
OMEGA,4,
ORANGE,4,
SAS,4,
SES,4,
TEMASEK,4,
UBS,4,
UNICOM,4,
VUELOS,4,
XN--45BRJ9C,4,
XN--KCRX77D1X4A,4,
XN--XKC2AL3HYE2A,4,
ZAPPOS,4,
ZARA,4,
AAA,3,
ABBVIE,3,
ANALYTICS,3,
BBC,3,
CHANEL,3,
CPA,3,
CUISINELLA,3,
DELL,3,
FORD,3,
HERMES,3,
IEEE,3,
JMP,3,
JPMORGAN,3,
LANCASTER,3,
LILLY,3,
LIXIL,3,
MATTEL,3,
MEET,3,
MIT,3,
PASSAGENS,3,
PWC,3,
QUEST,3,
ROCHER,3,
RWE,3,
SAMSUNG,3,
SBS,3,
SKYPE,3,
SPOT,3,
SPREADBETTING,3,
TARGET,3,
TOSHIBA,3,
VIVO,3,
XN--BCK1B9A5DRE4C,3,
XN--CG4BKI,3,
XN--GCKR3F0F,3,
XN--MGBBH1A71E,3,
XN--S9BRJ9C,3,
XN--XKC2DL3A5EE0H,3,
ZUERICH,3,
ABC,2,
ACCENTURE,2,
AEG,2,
AFAMILYCOMPANY,2,
AIRBUS,2,
AIRTEL,2,
ALIBABA,2,
ALIPAY,2,
ALSTOM,2,
AMAZON,2,
AMERICANFAMILY,2,
AMFAM,2,
AMICA,2,
ANZ,2,
AOL,2,
ARAB,2,
ARAMCO,2,
ASDA,2,
ATHLETA,2,
AUDIBLE,2,
AUTHOR,2,
AZURE,2,
BANANAREPUBLIC,2,
BAREFOOT,2,
BBT,2,
BCN,2,
BEAUTY,2,
BHARTI,2,
BMS,2,
BOEHRINGER,2,
BOFA,2,
BOOK,2,
BOOKING,2,
BOSCH,2,
BUDAPEST,2,
BUY,2,
CALL,2,
CALVINKLEIN,2,
CAPITALONE,2,
CARAVAN,2,
CASE,2,
CASEIH,2,
CBN,2,
CBRE,2,
CFD,2,
CHROME,2,
CIRCLE,2,
CITADEL,2,
CITYEATS,2,
CLINIQUE,2,
COMCAST,2,
COMSEC,2,
COOKINGCHANNEL,2,
COUPON,2,
DATSUN,2,
DEAL,2,
DELTA,2,
DIY,2,
DUCK,2,
DUNLOP,2,
DUPONT,2,
EPSON,2,
ERICSSON,2,
ETISALAT,2,
EUROVISION,2,
FARMERS,2,
FAST,2,
FERRERO,2,
FIDELITY,2,
FIRE,2,
FIRESTONE,2,
FLICKR,2,
FOOD,2,
FOODNETWORK,2,
FREE,2,
FRONTDOOR,2,
FRONTIER,2,
FTR,2,
FUJIXEROX,2,
GALLO,2,
GAP,2,
GEORGE,2,
GGEE,2,
GLADE,2,
GMX,2,
GOODYEAR,2,
GOT,2,
GRAINGER,2,
GROCERY,2,
HAIR,2,
HDFC,2,
HGTV,2,
HOMEGOODS,2,
HOMESENSE,2,
HOT,2,
HOTELS,2,
HOTMAIL,2,
HYUNDAI,2,
IBM,2,
ICBC,2,
IMAMAT,2,
IMDB,2,
INFINITI,2,
INTUIT,2,
IVECO,2,
JOT,2,
JOY,2,
JUNIPER,2,
KDDI,2,
KERRYHOTELS,2,
KERRYLOGISTICS,2,
KERRYPROPERTIES,2,
KINDLE,2,
KOSHER,2,
KUOKGROUP,2,
LACAIXA,2,
LAMER,2,
LEFRAK,2,
LEGO,2,
LEXUS,2,
LIFESTYLE,2,
LIKE,2,
LINCOLN,2,
LIPSY,2,
LIVING,2,
LOFT,2,
LOTTE,2,
LPL,2,
LPLFINANCIAL,2,
LUPIN,2,
MACYS,2,
MAIF,2,
MARSHALLS,2,
MERCKMSD,2,
MINT,2,
MITSUBISHI,2,
MOTO,2,
MSD,2,
NATIONWIDE,2,
NBA,2,
NETFLIX,2,
NEXTDIRECT,2,
NFL,2,
NHK,2,
NIKE,2,
NIKON,2,
NISSAY,2,
NOKIA,2,
NORTHWESTERNMUTUAL,2,
NORTON,2,
NOW,2,
OBI,2,
OFF,2,
OFFICE,2,
OLDNAVY,2,
ONYOURSIDE,2,
ORACLE,2,
ORIGINS,2,
PANASONIC,2,
PAY,2,
PFIZER,2,
PID,2,
PIN,2,
PING,2,
PLAYSTATION,2,
POHL,2,
POLITIE,2,
PRAMERICA,2,
PRIME,2,
QVC,2,
RAID,2,
READ,2,
REDUMBRELLA,2,
RELIANCE,2,
RIGHTATHOME,2,
RIL,2,
ROOM,2,
SAFE,2,
SAFETY,2,
SAKURA,2,
SAMSCLUB,2,
SAVE,2,
SCA,2,
SCHOLARSHIPS,2,
SCJOHNSON,2,
SECURE,2,
SEEK,2,
SEVEN,2,
SEW,2,
SFR,2,
SHANGRILA,2,
SHIA,2,
SHOWTIME,2,
SILK,2,
SKIN,2,
SMILE,2,
SONG,2,
STCGROUP,2,
SWIFTCOVER,2,
TALK,2,
TAOBAO,2,
TCI,2,
TDK,2,
TIAA,2,
TIFFANY,2,
TJMAXX,2,
TJX,2,
TRAVELCHANNEL,2,
TRAVELERS,2,
TRAVELERSINSURANCE,2,
TRV,2,
TUNES,2,
TUSHU,2,
UBANK,2,
UPS,2,
VANA,2,
VERISIGN,2,
VIRGIN,2,
VISA,2,
VIVA,2,
VOLKSWAGEN,2,
VOLVO,2,
WALMART,2,
WANGGOU,2,
WATCHES,2,
WEATHER,2,
WEATHERCHANNEL,2,
WINNERS,2,
WME,2,
WOLTERSKLUWER,2,
WOW,2,
XEROX,2,
XFINITY,2,
XN--1CK2E1B,2,
XN--1QQW23A,2,
XN--3OQ18VL8PN36A,2,
XN--3PXU8K,2,
XN--42C2D9A,2,
XN--5SU34J936BGSG,2,
XN--8Y0A063A,2,
XN--C2BR7G,2,
XN--CCK2B3B,2,
XN--ECKVDTC9D,2,
XN--FCT429K,2,
XN--FHBEI,2,
XN--GK3AT1E,2,
XN--IMR513N,2,
XN--J1AEF,2,
XN--JLQ480N2RG,2,
XN--JLQ61U9W7B,2,
XN--JVR189M,2,
XN--MGBA3A3EJT,2,
XN--MGBAAKC7DVF,2,
XN--MGBAI9AZGQP6J,2,
XN--MGBT3DHD,2,
XN--MIX891F,2,
XN--MXTQ1M,2,
XN--NGBE9E0A,2,
XN--NGBRX,2,
XN--NYQY26A,2,
XN--OTU796D,2,
XN--PSSY2U,2,
XN--Q7CE6A,2,
XN--ROVU88B,2,
XN--VERMGENSBERATER-CTB,2,
XN--VERMGENSBERATUNG-PWB,2,
XN--W4R85EL8FHU5DNRA,2,
XN--W4RS40L,2,
YAHOO,2,
YAMAXUN,2,
YODOBASHI,2,
YOU,2,
ZERO,2,
ABARTH,1,
ADS,1,
ALFAROMEO,1,
AMERICANEXPRESS,1,
ANDROID,1,
BAIDU,1,
BANAMEX,1,
BASEBALL,1,
BCG,1,
BESTBUY,1,
CATHOLIC,1,
CEB,1,
CHANNEL,1,
CIPRIANI,1,
COMMBANK,1,
CRUISE,1,
DDS,1,
FEDEX,1,
FERRARI,1,
FIAT,1,
FIDO,1,
FINAL,1,
GALLUP,1,
GIVING,1,
GODADDY,1,
GOLDPOINT,1,
HBO,1,
HELSINKI,1,
HERE,1,
HKT,1,
HOMEDEPOT,1,
HUGHES,1,
JEEP,1,
LANCIA,1,
LASALLE,1,
LIFEINSURANCE,1,
MARRIOTT,1,
MCKINSEY,1,
METLIFE,1,
MLS,1,
MTN,1,
MTR,1,
NETBANK,1,
NOWTV,1,
OLAYAN,1,
OLAYANGROUP,1,
OPEN,1,
PCCW,1,
PNC,1,
PROD,1,
PROGRESSIVE,1,
RICHARDLI,1,
ROGERS,1,
SHAW,1,
SINA,1,
STAPLES,1,
SYMANTEC,1,
TAB,1,
THD,1,
TKMAXX,1,
TMALL,1,
VIKING,1,
WEIBO,1,
WTC,1,
XN--11B4C3D,1,
XN--80AQECDR1A,1,
XN--9ET52U,1,
XN--9KRT00A,1,
XN--B4W605FERD,1,
XN--FJQ720A,1,
XN--FZYS8D69UVGM,1,
XN--MGBA7C0BBN0A,1,
XN--MGBCA7DZDO,1,
XN--MGBI4ECEXP,1,
XN--TIQ49XQYJ,1,
XN--YFRO4I67O,1,
AGAKHAN,0,
AKDN,0,
ALLY,0,
ANQUAN,0,
AVIANCA,0,
BEATS,0,
BLOCKBUSTER,0,
BOM,0,
BOO,0,
BV,0,
CAL,0,
CONTACT,0,
DAD,0,
DATA,0,
DAY,0,
DCLK,0,
DISH,0,
DOCS,0,
DOT,0,
DRIVE,0,
DTV,0,
DVR,0,
EAT,0,
ESQ,0,
FLY,0,
GB,0,
GBIZ,0,
GMAIL,0,
GUGE,0,
HANGOUT,0,
HDFCBANK,0,
ING,0,
JCP,0,
LATINO,0,
LDS,0,
LLP,0,
LOCKER,0,
MAP,0,
MASERATI,0,
MEME,0,
MOBILE,0,
MORMON,0,
MOV,0,
NEWHOLLAND,0,
NEXUS,0,
OLLO,0,
OTT,0,
PARS,0,
PHD,0,
PHONE,0,
PLAY,0,
PROF,0,
RSVP,0,
SEARCH,0,
SHOUJI,0,
SJ,0,
SLING,0,
STAR,0,
TVS,0,
XIHUAN,0,
XN--2SCRJ9C,0,
XN--30RR7Y,0,
XN--3HCRJ9C,0,
XN--45BR5CYL,0,
XN--45Q11C,0,
XN--CCKWCXETD,0,
XN--CLCHC0EA0B2G2A9GCD,0,
XN--EFVY88H,0,
XN--FLW351E,0,
XN--H2BREG3EVE,0,
XN--H2BRJ9C8C,0,
XN--MGBAH1A3HJKRD,0,
XN--MGBBH1A,0,
XN--MGBC0A9AZCG,0,
XN--MGBCPQ6GPA1A,0,
XN--MGBGU82A,0,
XN--MGBPL2FH,0,
XN--MGBTX2B,0,
XN--MGBX4CD0AB,0,
XN--NQV7FS00EMA,0,
XN--QCKA1PMC,0,
XN--QXA6A,0,
XN--RVC1E0AM3E,0,
YUN,0,
ZIP,0,
